"event_id","event_name","subevent_name","subevent_id","type_code"
79,"Score","missed drop goal",97,"rugby10"
79,"Score","Penalty Try",201,"rugby10"
79,"Score","Successful Conversion",311,"rugby10"
84,"Kickoffs retrieval","Won",105,"rugby7"
84,"Kickoffs retrieval","Lost",106,"rugby7"
84,"Kickoffs retrieval","Straight Out",192,"rugby7"
85,"Kickoff Reception ","Won",107,"rugby7"
85,"Kickoff Reception ","Lost",108,"rugby7"
88,"Kickoff Reception","Won",119,"rugby15"
88,"Kickoff Reception","Lost",120,"rugby15"
89,"Kickoffs retrieval","Won",121,"rugby15"
89,"Kickoffs retrieval","Lost",122,"rugby15"
89,"Kickoffs retrieval","Straight Out",191,"rugby15"
105,"Kick for territory","Caught",158,"rugby15"
105,"Kick for territory","Straight out",159,"rugby15"
105,"Kick for territory","Retrieved",164,"rugby15"
105,"Kick for territory","50-22",165,"rugby15"
105,"Kick for territory","Lineout",166,"rugby15"
105,"Kick for territory","Dead Ball",185,"rugby15"
105,"Kick for territory","Knocked On",186,"rugby15"
105,"Kick for territory","Charged Down",202,"rugby15"
105,"Kick for territory","Half time",340,"rugby15"
105,"Kick for territory","Full Time",341,"rugby15"
106,"Kick for territory","Caught",160,"rugby7"
106,"Kick for territory","Straight out",161,"rugby7"
106,"Kick for territory","Retrieved",167,"rugby7"
106,"Kick for territory","50-22",168,"rugby7"
106,"Kick for territory","Lineout",169,"rugby7"
106,"Kick for territory","Dead Ball",187,"rugby7"
106,"Kick for territory","Knocked On",188,"rugby7"
106,"Kick for territory","Charged Down",203,"rugby7"
106,"Kick for territory","Half time",342,"rugby7"
106,"Kick for territory","Full Time",343,"rugby7"
107,"Kick for territory","Caught",162,"rugby10"
107,"Kick for territory","Straight out",163,"rugby10"
107,"Kick for territory","Retrieved",170,"rugby10"
107,"Kick for territory","50-22",171,"rugby10"
107,"Kick for territory","Lineout",172,"rugby10"
107,"Kick for territory","Dead Ball",189,"rugby10"
107,"Kick for territory","Knocked On",190,"rugby10"
107,"Kick for territory","Charged Down",204,"rugby10"
107,"Kick for territory","Half time",344,"rugby10"
107,"Kick for territory","Full Time",345,"rugby10"
108,"Ruck Won","Less Than 3 Sec",334,"rugby15"
108,"Ruck Won","More Than 3 Sec",335,"rugby15"
109,"Ruck Won","Less Than 3 Sec",336,"rugby7"
109,"Ruck Won","More Than 3 Sec",337,"rugby7"
118,"Kickoffs retrieval","Straight Out",193,"rugby10"
120,"CARD","Yellow",544,"rugby10"
120,"CARD","Red",545,"rugby10"
121,"Ruck Won","Less Than 3 Sec",338,"rugby10"
121,"Ruck Won","More Than 3 Sec",339,"rugby10"
124,"Penalty Gain","Unsuccessful Kick For Touch",173,"rugby15"
124,"Penalty Gain","Tap",174,"rugby15"
124,"Penalty Gain","Scrum",183,"rugby15"
124,"Penalty Gain","Points",184,"rugby15"
124,"Penalty Gain","Lineout",603,"rugby15"
125,"Penalty Gain","Kick",175,"rugby7"
125,"Penalty Gain","Tap",176,"rugby7"
125,"Penalty Gain","Scrum",177,"rugby7"
125,"Penalty Gain","Points",178,"rugby7"
126,"Penalty Gain","Kick",179,"rugby10"
126,"Penalty Gain","Tap",180,"rugby10"
126,"Penalty Gain","Scrum",181,"rugby10"
126,"Penalty Gain","Points",182,"rugby10"
133,"Restart","kick off reception won",247,"rugby15"
133,"Restart","kick off reception lost",248,"rugby15"
133,"Restart","kick off retrieval won",249,"rugby15"
133,"Restart","kick off retrieval lost",250,"rugby15"
133,"Restart","false kick off",251,"rugby15"
133,"Restart","goal line drop out reception won",252,"rugby15"
133,"Restart","goal line drop out reception lost",253,"rugby15"
133,"Restart","goal line drop out retrieval won",254,"rugby15"
133,"Restart","goal line drop out retrieval lost",255,"rugby15"
133,"Restart","goal line drop out straight out",256,"rugby15"
133,"Restart","22 drop out reception won",257,"rugby15"
133,"Restart","22 drop out reception lost",258,"rugby15"
133,"Restart","22 drop out retrieval won",259,"rugby15"
133,"Restart","22 drop out retrieval lost",260,"rugby15"
133,"Restart","22 drop out straight out",261,"rugby15"
134,"Restart","kick off reception won",262,"rugby7"
134,"Restart","kick off reception lost",263,"rugby7"
134,"Restart","kick off retrieval won",264,"rugby7"
134,"Restart","kick off retrieval lost",265,"rugby7"
134,"Restart","false kick off",266,"rugby7"
134,"Restart","goal line drop out reception won",267,"rugby7"
134,"Restart","goal line drop out reception lost",268,"rugby7"
134,"Restart","goal line drop out retrieval won",269,"rugby7"
134,"Restart","goal line drop out retrieval lost",270,"rugby7"
134,"Restart","goal line drop out straight out",271,"rugby7"
134,"Restart","22 drop out reception won",272,"rugby7"
134,"Restart","22 drop out reception lost",273,"rugby7"
134,"Restart","22 drop out retrieval won",274,"rugby7"
134,"Restart","22 drop out retrieval lost",275,"rugby7"
134,"Restart","22 drop out straight out",276,"rugby7"
135,"Restart","kick off reception won",277,"rugby10"
135,"Restart","kick off reception lost",278,"rugby10"
135,"Restart","kick off retrieval won",279,"rugby10"
135,"Restart","kick off retrieval lost",280,"rugby10"
135,"Restart","false kick off",281,"rugby10"
135,"Restart","goal line drop out reception won",282,"rugby10"
135,"Restart","goal line drop out reception lost",283,"rugby10"
135,"Restart","goal line drop out retrieval won",284,"rugby10"
135,"Restart","goal line drop out retrieval lost",285,"rugby10"
135,"Restart","goal line drop out straight out",286,"rugby10"
135,"Restart","22 drop out reception won",287,"rugby10"
135,"Restart","22 drop out reception lost",288,"rugby10"
135,"Restart","22 drop out retrieval won",289,"rugby10"
135,"Restart","22 drop out retrieval lost",290,"rugby10"
135,"Restart","22 drop out straight out",291,"rugby10"
136,"Phases","Own 50",292,"rugby7"
136,"Phases","Opponents 50",293,"rugby7"
136,"Phases","Opponents 22",294,"rugby7"
136,"Phases","Own 22",295,"rugby7"
137,"Phases","Own 50",296,"rugby10"
137,"Phases","Opponents 50",297,"rugby10"
137,"Phases","Opponents 22",298,"rugby10"
137,"Phases","Own 22",299,"rugby10"
138,"Phases","Own 50",300,"rugby15"
138,"Phases","Opponents 50",301,"rugby15"
138,"Phases","Opponents 22",302,"rugby15"
138,"Phases","Own 22",303,"rugby15"
146,"Maul","Successful",328,"rugby15"
146,"Maul","Unsuccessful",329,"rugby15"
147,"Maul","Successful",330,"rugby7"
147,"Maul","Unsuccessful",331,"rugby7"
148,"Maul","Successful",332,"rugby10"
148,"Maul","Unsuccessful",333,"rugby10"
150,"Lineout throw","Front won",371,"rugby7"
150,"Lineout throw","Middle won",372,"rugby7"
150,"Lineout throw","Back won",373,"rugby7"
150,"Lineout throw","Front lost",374,"rugby7"
150,"Lineout throw","Middle lost",375,"rugby7"
150,"Lineout throw","Back lost",376,"rugby7"
150,"Lineout throw","Overthrow Won",389,"rugby7"
150,"Lineout throw","Overthrow Lost",390,"rugby7"
150,"Lineout throw","Quick Throw Won",586,"rugby7"
150,"Lineout throw","Quick Throw Lost",591,"rugby7"
151,"Lineout throw","Front won",377,"rugby15"
151,"Lineout throw","Middle won",378,"rugby15"
151,"Lineout throw","Back won",379,"rugby15"
151,"Lineout throw","Front lost",380,"rugby15"
151,"Lineout throw","Middle lost",381,"rugby15"
151,"Lineout throw","Back lost",382,"rugby15"
151,"Lineout throw","Overthrow Won",391,"rugby15"
151,"Lineout throw","Overthrow Lost",392,"rugby15"
151,"Lineout throw","Quick Throw Won",587,"rugby15"
151,"Lineout throw","Quick Throw Lost",590,"rugby15"
152,"Lineout throw","Front won",383,"rugby10"
152,"Lineout throw","Middle won",384,"rugby10"
152,"Lineout throw","Back won",385,"rugby10"
152,"Lineout throw","Front lost",386,"rugby10"
152,"Lineout throw","Middle lost",387,"rugby10"
152,"Lineout throw","Back lost",388,"rugby10"
152,"Lineout throw","Overthrow Won",393,"rugby10"
152,"Lineout throw","Overthrow Lost",394,"rugby10"
152,"Lineout throw","Quick Throw Won",588,"rugby10"
152,"Lineout throw","Quick Throw Lost",589,"rugby10"
158,"Kick Reception","Caught",409,"rugby15"
158,"Kick Reception","Knocked On",410,"rugby15"
158,"Kick Reception","Knocked Back",411,"rugby15"
158,"Kick Reception","Missed",412,"rugby15"
162,"Lineout Pass to Receiver","Complete",419,"rugby15"
162,"Lineout Pass to Receiver","InComplete",420,"rugby15"
162,"Lineout Pass to Receiver","No Pass",421,"rugby15"
179,"Assist","Try Assist",451,"rugby15"
179,"Assist","Linebreak Assist",452,"rugby15"
179,"Assist","Linebreak + Try Assist",559,"rugby15"
180,"Assist","Try Assist",447,"rugby7"
180,"Assist","Linebreak Assist",448,"rugby7"
180,"Assist","Linebreak + Try Assist",560,"rugby7"
181,"Assist","Try Assist",449,"rugby10"
181,"Assist","Linebreak Assist",450,"rugby10"
181,"Assist","Linebreak + Try Assist",561,"rugby10"
206,"Ruck Contest","Won",524,"rugby15"
206,"Ruck Contest","Lost",525,"rugby15"
207,"Ruck Contest","Won",526,"rugby7"
207,"Ruck Contest","Lost",527,"rugby7"
208,"Ruck Contest","Won",528,"rugby10"
208,"Ruck Contest","Lost",529,"rugby10"
209,"Linebreak Against","Left 15m",531,"rugby7"
209,"Linebreak Against","Center",533,"rugby7"
209,"Linebreak Against","Right 15m",535,"rugby7"
212,"Score against","Missed Conversion",495,"rugby7"
212,"Score against","Successful Drop Goal",496,"rugby7"
212,"Score against","Successful Penalty",497,"rugby7"
212,"Score against","Successful Conversion",498,"rugby7"
212,"Score against","Missed Penalty",499,"rugby7"
212,"Score against","Missed Drop Goal",500,"rugby7"
212,"Score against","Try",501,"rugby7"
212,"Score against","Penalty Try",502,"rugby7"
213,"Score against","Missed Conversion",503,"rugby15"
213,"Score against","Successful Drop Goal",504,"rugby15"
213,"Score against","Successful Penalty",505,"rugby15"
213,"Score against","Successful Conversion",506,"rugby15"
213,"Score against","Missed Penalty",507,"rugby15"
213,"Score against","Missed Drop Goal",508,"rugby15"
213,"Score against","Try",509,"rugby15"
213,"Score against","Penalty Try",510,"rugby15"
214,"Score against","Missed Conversion",511,"rugby10"
214,"Score against","Successful Drop Goal",512,"rugby10"
214,"Score against","Successful Penalty",513,"rugby10"
214,"Score against","Successful Conversion",514,"rugby10"
214,"Score against","Missed Penalty",515,"rugby10"
214,"Score against","Missed Drop Goal",516,"rugby10"
214,"Score against","Try",517,"rugby10"
214,"Score against","Penalty Try",518,"rugby10"
217,"Defenders Beaten","1",562,"rugby15"
217,"Defenders Beaten","2",565,"rugby15"
217,"Defenders Beaten","3",570,"rugby15"
217,"Defenders Beaten","4",571,"rugby15"
217,"Defenders Beaten","5",574,"rugby15"
217,"Defenders Beaten","6",577,"rugby15"
217,"Defenders Beaten","7",580,"rugby15"
217,"Defenders Beaten","8",585,"rugby15"
217,"Defenders Beaten","1",647,"rugby15"
218,"Defenders Beaten","1",563,"rugby10"
218,"Defenders Beaten","2",566,"rugby10"
218,"Defenders Beaten","3",569,"rugby10"
218,"Defenders Beaten","4",572,"rugby10"
218,"Defenders Beaten","5",575,"rugby10"
218,"Defenders Beaten","6",578,"rugby10"
218,"Defenders Beaten","7",581,"rugby10"
218,"Defenders Beaten","8",584,"rugby10"
218,"Defenders Beaten","2",648,"rugby10"
221,"Team Effort","Try Assist",536,"rugby15"
221,"Team Effort","Lineout Steal",538,"rugby15"
221,"Team Effort","Scrum Steal",542,"rugby15"
222,"Team Effort","Try Assist",537,"rugby10"
222,"Team Effort","Lineout Steal",539,"rugby10"
222,"Team Effort","Scrum Steal",543,"rugby10"
223,"Defenders Beaten","1",564,"rugby7"
223,"Defenders Beaten","2",567,"rugby7"
223,"Defenders Beaten","3",568,"rugby7"
223,"Defenders Beaten","4",573,"rugby7"
223,"Defenders Beaten","5",576,"rugby7"
223,"Defenders Beaten","6",579,"rugby7"
223,"Defenders Beaten","7",582,"rugby7"
223,"Defenders Beaten","8",583,"rugby7"
224,"Jackal Attempt","Won",546,"rugby7"
224,"Jackal Attempt","Lost",547,"rugby7"
225,"Bad Option","Attack",548,"rugby7"
225,"Bad Option","Defence",549,"rugby7"
228,"Freekick Conceded","Lineout Freekick",592,"rugby7"
228,"Freekick Conceded","Scrum Freekick",595,"rugby7"
228,"Freekick Conceded","General Play Freekick",598,"rugby7"
229,"Freekick Conceded","Lineout Freekick",593,"rugby10"
229,"Freekick Conceded","Scrum Freekick",596,"rugby10"
229,"Freekick Conceded","General Play Freekick",599,"rugby10"
230,"Freekick Conceded","Lineout Freekick",594,"rugby15"
230,"Freekick Conceded","Scrum Freekick",597,"rugby15"
230,"Freekick Conceded","General Play Freekick",600,"rugby15"
231,"Running","Swerve",601,"rugby15"
231,"Running","Goose Step",602,"rugby15"
